X,Y,OBJECTID,Type_Description,Park_Name,Rubbish_bins,Toilets,Universal_access,Shelter,Barbecues,picnic_tables,Seating,Drinking_fountain,Play_equipment,Recreational_facilities,Walking_tracks,Dogs_NOT_permitted,Dogs_on_lead,Dogs_off_lead,Shade_trees,Historic_Site,Suitable_for_weddings,Website,ORIG_FID,FACILITYID,NAME,FULLADDR,OPERHOURS,OPERDAYS,PARKURL,Photo
147.328030648934,-42.8729502936584,1,Park - Park Areas (per Asset Definition),Aberdeen Street Play Area,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,1,1,Aberdeen Street Play Area,"30 Aberdeen Street, Queens Domain",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/aberdeen_street.jpg
147.312970023854,-42.8821712125006,2,Park - Park Areas (per Asset Definition),Caldew Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,2,2,Caldew Park,"Cnr Hill and Warwick Streets, West Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/caldew.jpg
147.295471410542,-42.8951195309522,3,Park - Park Areas (per Asset Definition),Cascade Gardens,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,3,3,Cascade Gardens,"McRobies Road, South Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/cascade.jpg
147.319444912885,-42.8535077045,5,Park - Park Areas (per Asset Definition),Cornelian Bay Foreshore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,6,5,Cornelian Bay Foreshore,"Queens Walk, Cornelian Bay",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/cornelian_bay.jpg
147.292177289073,-42.8658378899378,6,Park - Park Areas (per Asset Definition),Edge Avenue,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,7,6,Edge Avenue,"33-37 Edge Avenue, Lenah Valley",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/edge_avenue.jpg
147.320746423559,-42.8927464071926,7,Park - Park Areas (per Asset Definition),Fitzroy Gardens,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,8,7,Fitzroy Gardens,"Cnr Fitzroy Crescent/Digney Street, South Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/fitzroy_gardens.jpg
147.300636435733,-42.8603568821674,8,Park - Park Areas (per Asset Definition),John Kennedy,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,9,8,John Kennedy,"Cnr Carlton and pedder Street, New Town",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_kennedy.jpg
147.313296551039,-42.8771178286882,9,Park - Park Areas (per Asset Definition),John Doggett Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,10,9,John Doggett Park,"Lochner Street, West Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_doggett.jpg
147.288750634865,-42.8617619037538,10,Park - Park Areas (per Asset Definition),John Turnbull Rec. Oval,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,11,10,John Turnbull Rec. Oval,"Cnr Creek and Lenah Valley Road, Lenah Valley",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_turnbull.jpg
147.356299073519,-42.9113544381127,12,Park - Park Areas (per Asset Definition),Long Beach Reserve,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,13,12,Long Beach Reserve,"Long Point Road, Sandy Bay",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/long_beach.jpg
147.330769827565,-42.9245044994365,13,Park - Park Areas (per Asset Definition),Mt Nelson Oval And Reserve,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,14,13,Mt Nelson Oval And Reserve,"555 Mt Nelson Road, Mount Nelson",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/mount_nelson.jpg
